,DateTime,FlightName,Recons Error,Threshold 1,Threshold 2,Prediction,RootCause,RCComponent,Active,,minD,max(D),Normalized Values
0,31/12/2022 7:55,Tail 1,0.845,2.2,3,0,,,0,,0.593,4.834,0.052118934
1,1/1/2023 2:35,Tail 2,1.398,2.2,3,0,,,0,,,,0.168765857
2,2/1/2023 9:44,Tail 3,0.691,2.2,3,0,,,0,,,,0.020321858
3,5/1/2023 10:43,Tail 4,1.271,2.2,3,0,,,0,,,,0.14282009
4,6/1/2023 9:28,Tail 1,1.127,2.2,3,0,,,0,,,,0.112762556
5,7/1/2023 1:38,Tail 4,1.545,2.2,3,0,,,0,,,,0.198006838
6,8/1/2023 2:15,Tail 2,1.644,2.2,3,0,,,0,,,,0.2171917
7,8/1/2023 22:48,Tail 3,0.917,2.2,3,0,,,0,,,,0.067825277
8,10/1/2023 13:55,Tail 5,1.946,2.2,3,0,,,0,,,,0.283663287
9,11/1/2023 10:43,Tail 6,1.299,2.2,3,0,,,0,,,,0.148001651
10,12/1/2023 12:43,Tail 5,0.803,2.2,3,0,,,0,,,,0.044151379
11,13/1/2023 11:23,Tail 6,1.151,2.2,3,0,,,0,,,,0.117524876
12,19/1/2023 14:06,Tail 6,0.713,2.2,3,0,,,0,,,,0.025509314
13,20/1/2023 10:30,Tail 4,2.354,2.2,3,1,Temperature,Coolant,1,,,,0.445501768
14,22/1/2023 1:12,Tail 3,0.596,2.2,3,0,,,0,,,,0.000683447
15,22/1/2023 22:31,Tail 2,2.831,2.2,3,1,Flow,Pump,1,,,,0.528
16,24/1/2023 9:27,Tail 8,0.620,2.2,3,0,,,0,,,,0.005683801
17,27/1/2023 10:18,Tail 5,0.670,2.2,3,0,,,0,,,,0.016894129
18,29/1/2023 9:18,Tail 3,0.597,2.2,3,0,,,0,,,,0.000822518
19,30/1/2023 2:09,Tail 9,0.692,2.2,3,0,,,0,,,,0.020922896
20,31/1/2023 14:13,Tail 7,0.593,2.2,3,0,,,0,,,,0
21,1/2/2023 10:37,Tail 5,0.900,2.2,3,0,,,0,,,,0.064626621
22,3/2/2023 2:11,Tail 5,0.702,2.2,3,0,,,0,,,,0.02288083
23,3/2/2023 22:30,Tail 4,0.768,2.2,3,0,,,0,,,,0.036822542
24,5/2/2023 9:15,Tail 3,0.614,2.2,3,0,,,0,,,,0.004431007
25,6/2/2023 2:04,Tail 9,0.872,2.2,3,0,,,0,,,,0.058565716
26,7/2/2023 9:12,Tail 10,0.628,2.2,3,0,,,0,,,,0.007332115
27,8/2/2023 2:18,Tail 10,0.972,2.2,3,0,,,0,,,,0.07954506
